88,Mayo Airport,YMA,Canada,Mayo,"{latitude:63.6164016723632, longitude:-135.86799621582}",-8
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,Canada,Moose Jaw,"{latitude:50.3302993774414, longitude:-105.55899810791}",-6
90,Fort McMurray Airport,YMM,Canada,Fort Mcmurray,"{latitude:56.653301239, longitude:-111.222000122}",-7
91,Moosonee Airport,YMO,Canada,Moosonee,"{latitude:51.2910995483398, longitude:-80.6078033447265}",-5
92,Maniwaki Airport,YMW,Canada,Maniwaki,"{latitude:46.2728004456, longitude:-75.9906005859}",-5
93,Montreal International (Mirabel) Airport,YMX,Canada,Montreal,"{latitude:45.679501, longitude:-74.038696}",-5
94,Natashquan Airport,YNA,Canada,Natashquan,"{latitude:50.1899986267089, longitude:-61.7891998291015}",-5
95,Ottawa / Gatineau Airport,YND,Canada,Gatineau,"{latitude:45.5217018126999, longitude:-75.5635986328}",-5
96,Matagami Airport,YNM,Canada,Matagami,"{latitude:49.7616996765136, longitude:-77.8028030395507}",-5
97,Old Crow Airport,YOC,Canada,Old Crow,"{latitude:67.5706024169921, longitude:-139.839004516601}",-8
98,CFB Cold Lake,YOD,Canada,Cold Lake,"{latitude:54.4049987792968, longitude:-110.278999328613}",-7
99,High Level Airport,YOJ,Canada,High Level,"{latitude:58.6213989257812, longitude:-117.165000915527}",-7
100,Ottawa Macdonald-Cartier International Airport,YOW,Canada,Ottawa,"{latitude:45.3224983215332, longitude:-75.6691970825195}",-5
101,Prince Albert Glass Field,YPA,Canada,Prince Albert,"{latitude:53.2141990661999, longitude:-105.672996521}",-6
102,Peace River Airport,YPE,Canada,Peace River,"{latitude:56.226898, longitude:-117.446999}",-7
103,Southport Airport,YPG,Canada,Portage-la-prairie,"{latitude:49.903099, longitude:-98.273817}",-6
105,Pickle Lake Airport,YPL,Canada,Pickle Lake,"{latitude:51.4463996887207, longitude:-90.2142028808593}",-5
106,Port Menier Airport,YPN,Canada,Port Menier,"{latitude:49.8363990783691, longitude:-64.2885971069335}",-5
