:START_ID,:END_ID
airport_3371,airport_3385
airport_3371,airport_3382
airport_3371,airport_4144
airport_3371,airport_6392
airport_3371,airport_3383
airport_3395,airport_3370
airport_3395,airport_3375
airport_3395,airport_3393
airport_3395,airport_3371
airport_3395,airport_9310
airport_3395,airport_6434
airport_3395,airport_4120
airport_3395,airport_8407
airport_3395,airport_6345
airport_3395,airport_3389
airport_3395,airport_3386
airport_3395,airport_3077
airport_3395,airport_3179
airport_3395,airport_3930
airport_3395,airport_4085
airport_3395,airport_3381
airport_3395,airport_8781
airport_3395,airport_4301
airport_3395,airport_3384
airport_3395,airport_3382
airport_3395,airport_6379
airport_3395,airport_3394
airport_3395,airport_3378
airport_3395,airport_4033
airport_3395,airport_6376
airport_3395,airport_4097
airport_3395,airport_6402
airport_3395,airport_3339
airport_3395,airport_3388
airport_3395,airport_3373
airport_3395,airport_3364
airport_3395,airport_3406
airport_3395,airport_6435
airport_3395,airport_4144
airport_3395,airport_6347
airport_3395,airport_4030
airport_3395,airport_3374
airport_3395,airport_3390
airport_3395,airport_4108
airport_3395,airport_2275
airport_3395,airport_3368
airport_3395,airport_3369
airport_3395,airport_3399
airport_3395,airport_6392
airport_3395,airport_3376
airport_3395,airport_6390
airport_3395,airport_6403
airport_3395,airport_3396
airport_3395,airport_3379
airport_3395,airport_3383
airport_3395,airport_6366
airport_3395,airport_4149
airport_3395,airport_6361
airport_3395,airport_8876
airport_4109,airport_3393
airport_4109,airport_3400
airport_4109,airport_3383
airport_4109,airport_6355
airport_6344,airport_3369
airport_9310,airport_3395
airport_3404,airport_3393
airport_3404,airport_3386
airport_3404,airport_3400
airport_3404,airport_4108
airport_3404,airport_4149
airport_4308,airport_3378
airport_6434,airport_3395
airport_6434,airport_4144
airport_6353,airport_3393
airport_6353,airport_3388
airport_3385,airport_3371
airport_3385,airport_3379
airport_9311,airport_4097
airport_9311,airport_3379
airport_4120,airport_3393
airport_4120,airport_3395
airport_4120,airport_3386
airport_4120,airport_3387
airport_4120,airport_6355
airport_8407,airport_3395
airport_6345,airport_3395
airport_3389,airport_3395
airport_3386,airport_3375
airport_3386,airport_3393
airport_3386,airport_3395
airport_3386,airport_3404
airport_3386,airport_4120
airport_3386,airport_3394
airport_3386,airport_3368
airport_3386,airport_3369
airport_3077,airport_3395
airport_3077,airport_6361
airport_3077,airport_6357
airport_3179,airport_3393
airport_3179,airport_3395
airport_3400,airport_3375
airport_3400,airport_4109
airport_3400,airport_3404
airport_3400,airport_4085
airport_3400,airport_3387
airport_3400,airport_3388
airport_3400,airport_6954
airport_3400,airport_6347
airport_3400,airport_4108
airport_3400,airport_3368
airport_3400,airport_6392
airport_3400,airport_3376
airport_3400,airport_3379
airport_3400,airport_4149
airport_3930,airport_3395
airport_4085,airport_3393
airport_4085,airport_3395
airport_4085,airport_3400
airport_4085,airport_3372
airport_6432,airport_3378
airport_3381,airport_3395
airport_3381,airport_3382
airport_8781,airport_3395
airport_6386,airport_3394
airport_6386,airport_3376
airport_4301,airport_3395
